stage123b_interface,stage122_source_stage121_family,stage122_variant,gold_label,correct_SUPPORT,correct_REFUTE,correct_NE,false_NE_SUPPORT,false_NE_REFUTE,false_entitlement,SUPPORT_to_REFUTE,REFUTE_to_SUPPORT,other,total,failure_total,failure_rate
core_marker_context_suffix,short_neutral_fragment,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_fragment,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_marker_context_suffix,short_neutral_sentence,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,explicit_before_temporal,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_neutral_tokens,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,length_matched_nonsense,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,original_control,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,prefix_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,prefix_plus_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_discourse_no_temporal,prefix_separator_core,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_neutral_no_order,core_only,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_neutral_no_order,core_plus_suffix,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
core_only,long_neutral_no_order,core_with_neutral_marker,REFUTE,0,13,0,0,0,0,0,0,0,13,0,0.0
