gate,threshold,shift,selected_count_mean,selected_count_std,selected_rate_mean,selected_rate_std,overall_accuracy_mean,overall_accuracy_std,overall_macro_f1_mean,overall_macro_f1_std,surface_control_fne_mean,surface_control_fne_std,temporal_erased_fne_mean,temporal_erased_fne_std,sufficiency_control_fe_mean,sufficiency_control_fe_std,frame_location_mismatch_fe_mean,frame_location_mismatch_fe_std,frame_role_mismatch_fe_mean,frame_role_mismatch_fe_std,temporal_mismatch_fe_mean,temporal_mismatch_fe_std,predicate_mismatch_fe_mean,predicate_mismatch_fe_std,keeps_temporal_guard,keeps_predicate_guard,safe_sufficiency,safe_frame_location,safe_frame_role,passes_g1_gate
high_frame,0.60,0.1,171.333333,162.531023,0.503922,0.478032,0.708025,0.063864,0.416738,0.129296,0.386667,0.506491,0.683333,0.439356,0.073333,0.127017,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.60,0.2,171.333333,162.531023,0.503922,0.478032,0.718519,0.069857,0.427521,0.134156,0.383333,0.508363,0.620000,0.468722,0.083333,0.144338,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.60,0.25,171.333333,162.531023,0.503922,0.478032,0.720370,0.070346,0.429715,0.134809,0.376667,0.512282,0.610000,0.463573,0.086667,0.150111,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.60,0.3,171.333333,162.531023,0.503922,0.478032,0.719753,0.067137,0.430785,0.131606,0.376667,0.512282,0.590000,0.466047,0.110000,0.190526,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.60,0.4,171.333333,162.531023,0.503922,0.478032,0.712963,0.064973,0.428547,0.127660,0.366667,0.518588,0.566667,0.463717,0.176667,0.297377,0.650000,0.563471,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,False,False,False,False
high_frame,0.70,0,138.333333,143.465443,0.406863,0.421957,0.705556,0.064390,0.412541,0.129083,0.386667,0.506491,0.720000,0.409512,0.050000,0.086603,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.70,0.1,138.333333,143.465443,0.406863,0.421957,0.711111,0.068818,0.418551,0.132315,0.386667,0.506491,0.686667,0.441626,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.70,0.2,138.333333,143.465443,0.406863,0.421957,0.717901,0.076943,0.424546,0.139034,0.386667,0.506491,0.650000,0.488672,0.053333,0.092376,0.616667,0.539290,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.70,0.25,138.333333,143.465443,0.406863,0.421957,0.717901,0.076943,0.424809,0.139101,0.383333,0.508363,0.650000,0.488672,0.053333,0.092376,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
high_frame,0.70,0.3,138.333333,143.465443,0.406863,0.421957,0.717284,0.076046,0.424607,0.138828,0.383333,0.508363,0.643333,0.500133,0.063333,0.109697,0.633333,0.550757,0.650000,0.563471,0.000000,0.000000,0.000000,0.000000,True,True,True,False,False,False
