seed,shift,group,ood_eval_state,ood_eval_epoch,temporal_flag_count,predicate_flag_count,unflagged_count,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate,prediction_distribution
mean,0.25,__overall__,mixed,mixed,100,100,340,0.6611111164093018,0.43508590738297714,,,
mean,0.25,temporal_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.25,predicate_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.25,surface_control,mixed,mixed,100,100,340,0.4866666595141093,0.18649728633625576,0.0,0.13333333333333333,
mean,0.25,temporal_erased,mixed,mixed,100,100,340,0.4399999976158142,0.17530035507563596,0.0,0.19,
mean,0.25,sufficiency_control,mixed,mixed,100,100,340,0.596666673819224,0.2482783924909162,0.4033333333333333,,
mean,0.25,frame_location_mismatch,mixed,mixed,100,100,340,0.10000000149011612,0.05723905723905724,0.9,,
mean,0.25,frame_role_mismatch,mixed,mixed,100,100,340,0.13333333532015482,0.0634920634920635,0.8666666666666667,,
mean,0.5,__overall__,mixed,mixed,100,100,340,0.6240740716457367,0.4374878886801108,,,
mean,0.5,temporal_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.5,predicate_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.5,surface_control,mixed,mixed,100,100,340,0.49666664997736615,0.1889913629044064,0.0,0.0,
mean,0.5,temporal_erased,mixed,mixed,100,100,340,0.46333332856496173,0.18157427439303356,0.0,0.0,
mean,0.5,sufficiency_control,mixed,mixed,100,100,340,0.4100000162919362,0.18482966309053264,0.59,,
mean,0.5,frame_location_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,0.5,frame_role_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,0.75,__overall__,mixed,mixed,100,100,340,0.5481481452782949,0.40826674834785925,,,
mean,0.75,temporal_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.75,predicate_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,0.75,surface_control,mixed,mixed,100,100,340,0.49666664997736615,0.1889913629044064,0.0,0.0,
mean,0.75,temporal_erased,mixed,mixed,100,100,340,0.46333332856496173,0.18157427439303356,0.0,0.0,
mean,0.75,sufficiency_control,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,0.75,frame_location_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,0.75,frame_role_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,1,__overall__,mixed,mixed,100,100,340,0.5481481452782949,0.40826674834785925,,,
mean,1,temporal_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,1,predicate_mismatch,mixed,mixed,100,100,340,1.0,0.3333333333333333,0.0,,
mean,1,surface_control,mixed,mixed,100,100,340,0.49666664997736615,0.1889913629044064,0.0,0.0,
mean,1,temporal_erased,mixed,mixed,100,100,340,0.46333332856496173,0.18157427439303356,0.0,0.0,
mean,1,sufficiency_control,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,1,frame_location_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
mean,1,frame_role_mismatch,mixed,mixed,100,100,340,0.0,0.0,1.0,,
