section,system,metric,mean,std,n,formatted
internal_faithfulness,conservative_balanced_router,polarity_flip_internal_ok,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
internal_faithfulness,conservative_balanced_router,polarity_flip_output_internal_gap,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_balanced_router,polarity_flip_output_ok,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
internal_faithfulness,conservative_balanced_router,polarity_flip_output_ok_but_internal_bad,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_strict_router,entitled_output_count,76.0,2.0,3,76.000 ± 2.000
internal_faithfulness,conservative_strict_router,entitled_output_gate_violation_rate,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_strict_router,entitled_output_gate_violations,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_strict_router,polarity_flip_internal_ok,0.9,0.04999999999999999,3,0.900 ± 0.050
internal_faithfulness,conservative_strict_router,polarity_flip_output_internal_gap,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,conservative_strict_router,polarity_flip_output_ok,0.9,0.04999999999999999,3,0.900 ± 0.050
internal_faithfulness,conservative_strict_router,polarity_flip_output_ok_but_internal_bad,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,dual_auditor_router,entitled_output_count,73.33333333333333,2.516611478423583,3,73.333 ± 2.517
internal_faithfulness,dual_auditor_router,entitled_output_gate_violation_rate,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,dual_auditor_router,entitled_output_gate_violations,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,dual_auditor_router,polarity_flip_internal_ok,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
internal_faithfulness,dual_auditor_router,polarity_flip_output_internal_gap,0.0,0.0,3,0.000 ± 0.000
internal_faithfulness,dual_auditor_router,polarity_flip_output_ok,0.8833333333333333,0.05773502691896256,3,0.883 ± 0.058
internal_faithfulness,dual_auditor_router,polarity_flip_output_ok_but_internal_bad,0.0,0.0,3,0.000 ± 0.000
