row_type,intervention_type,target,score,metric,mean,std,n,formatted,state_summary
opportunity,evidence_truncation,not_applicable,not_applicable,classifier_entitled,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,classifier_error,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,entitled_accuracy,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,false_entitled,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,false_entitled_rate,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,false_refute,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,false_support,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,gold_NOT_ENTITLED,60.0,0.0,3,60.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,gold_REFUTE,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,gold_SUPPORT,0.0,0.0,3,0.0000 +/- 0.0000,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_entitlement_fail_score,0.9993029791813267,0.00044725228178156627,3,0.9993 +/- 0.0004,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_entitlement_prob,0.0006970208186733847,0.0004472522817815451,3,0.0007 +/- 0.0004,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_frame_fail_score,0.013943231105804444,0.0053369291690974156,3,0.0139 +/- 0.0053,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_frame_prob,0.9860567688941956,0.005336929169097392,3,0.9861 +/- 0.0053,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_polarity_margin,-4.449792374504937,0.16362319937293937,3,-4.4498 +/- 0.1636,not_applicable
opportunity,evidence_truncation,not_applicable,not_applicable,mean_polarity_weak_score,4.449792374504937,0.16362319937293937,3,4.4498 +/- 0.1636,not_applicable
