threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,evidence_deletion,self_routed_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_deletion,support_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,classifier_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,classifier_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,classifier_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,classifier_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,pairwise_applicable_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,raw_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,raw_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,refute_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,routed_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,routed_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,routed_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,routed_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,routed_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,router_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,evidence_truncation,router_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
